New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z,P_term_vel_x,I_term_vel_x,D_term_vel_x,error_vel_x,d_error_vel_x,desired_pitch_angle
15.522462000,0.003243000,0.540039,43,100.020004,11988,-0.0020,-0.223,2.201,0.940,-0.019,-0.070,0.046,0.036,0.032,0.158,0.008,-0.069,-0.026,0.052,2.448,0.894,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.539211000,0.019992000,0.549805,43,113.830391,11989,0.0070,-0.223,2.201,0.940,-0.019,-0.075,0.050,0.037,0.031,0.156,0.046,-0.085,-0.064,0.052,2.448,0.894,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.549528000,0.030309000,0.559570,43,59.730019,11990,0.0005,-0.223,2.200,0.941,-0.018,-0.079,0.051,0.037,0.028,0.155,0.033,-0.121,-0.077,0.052,2.448,0.894,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.553810000,0.034591000,0.569336,43,96.983803,11991,-0.0055,-0.223,2.199,0.942,-0.018,-0.082,0.054,0.037,0.025,0.154,0.025,-0.175,-0.086,0.052,2.448,0.894,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.565636000,0.046417000,0.580078,43,233.808746,11992,0.0011,-0.224,2.198,0.942,-0.018,-0.081,0.054,0.038,0.024,0.153,0.043,-0.160,-0.073,0.052,2.448,0.894,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.578451000,0.059232000,0.589844,43,84.609528,11993,0.0030,-0.224,2.197,0.943,-0.017,-0.084,0.055,0.040,0.022,0.153,0.082,-0.165,-0.050,0.052,2.448,0.894,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.585113000,0.065894000,0.599609,43,78.082298,11994,-0.0031,-0.224,2.196,0.943,-0.016,-0.088,0.055,0.039,0.022,0.153,0.033,-0.119,-0.052,0.052,2.448,0.894,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.600932000,0.081713000,0.610352,43,150.240387,11995,0.0051,-0.224,2.195,0.944,-0.017,-0.086,0.054,0.038,0.020,0.152,-0.008,-0.149,-0.057,0.052,2.448,0.894,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.620384000,0.101165000,0.620117,43,63.247105,11996,0.0097,-0.224,2.194,0.944,-0.016,-0.088,0.052,0.036,0.020,0.151,-0.042,-0.116,-0.061,0.052,2.448,0.894,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15.628688000,0.109469000,0.629883,43,51.427101,11997,-0.0015,-0.224,2.193,0.945,-0.016,-0.088,0.053,0.036,0.017,0.151,-0.041,-0.157,-0.068,0.052,2.448,0.894,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
