New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z,P_term_vel_x,I_term_vel_x,D_term_vel_x,error_vel_x,d_error_vel_x,desired_pitch_angle,actual_vel_x
36.205117000,0.008299000,0.379333,43,94.482239,19762,-0.0008,-0.275,2.258,0.941,-0.017,-0.025,-0.006,-0.145,0.091,0.038,0.244,0.015,0.042,-0.859,2.243,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.017
36.215958000,0.019140000,0.389709,43,113.675117,19763,0.0005,-0.275,2.258,0.941,-0.018,-0.026,-0.005,-0.144,0.091,0.038,0.210,0.025,0.049,-0.859,2.243,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.018
36.229777000,0.032959000,0.399658,43,92.302010,19764,0.0039,-0.276,2.258,0.941,-0.017,-0.027,-0.004,-0.144,0.093,0.039,0.157,0.052,0.043,-0.859,2.243,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.017
36.241298000,0.044480000,0.409607,43,72.395569,19765,0.0016,-0.276,2.257,0.941,-0.019,-0.026,-0.010,-0.150,0.092,0.040,-0.023,0.035,0.058,-0.859,2.243,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.019
36.243499000,0.046681000,0.419067,43,86.843246,19766,-0.0073,-0.276,2.257,0.941,-0.015,-0.031,-0.010,-0.148,0.094,0.037,0.020,0.069,-0.031,-0.859,2.243,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.015
36.258147000,0.061329000,0.429810,43,455.373413,19767,0.0039,-0.276,2.257,0.941,-0.009,-0.032,-0.010,-0.148,0.093,0.034,0.033,0.033,-0.081,-0.859,2.243,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.009
36.270482000,0.073664000,0.439575,43,68.301346,19768,0.0026,-0.276,2.256,0.941,-0.004,-0.033,-0.010,-0.145,0.092,0.031,0.086,-0.014,-0.143,-0.859,2.243,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.004
36.282315000,0.085497000,0.449707,43,81.109581,19769,0.0017,-0.275,2.256,0.941,0.001,-0.031,-0.009,-0.144,0.089,0.028,0.087,-0.091,-0.185,-0.859,2.243,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
36.290844000,0.094026000,0.459717,43,84.538002,19770,-0.0015,-0.275,2.256,0.941,0.005,-0.033,-0.008,-0.144,0.087,0.024,0.071,-0.107,-0.244,-0.859,2.243,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005
36.294967000,0.098149000,0.469604,43,117.357117,19771,-0.0058,-0.275,2.255,0.941,0.009,-0.036,-0.004,-0.143,0.087,0.020,0.092,-0.077,-0.276,-0.859,2.243,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009
