New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number, latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error
20.794301000,0.005868000,0.268311,43,119.846596,4170,-0.0023,-1.159,-0.058,0.157,0.001,-0.000,0.000,0.026,0.016,-0.047,0.006,0.001,-0.000,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.818214000,0.029781000,0.279785,43,155.279510,4171,0.0124,-1.159,-0.058,0.157,0.000,0.000,-0.000,0.026,0.016,-0.047,0.005,0.005,-0.002,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.837472000,0.049039000,0.289551,43,41.830502,4172,0.0095,-1.159,-0.058,0.157,-0.000,0.000,-0.001,0.025,0.016,-0.047,-0.008,-0.001,0.003,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.860540000,0.072107000,0.299561,43,51.939957,4173,0.0131,-1.159,-0.058,0.157,0.000,-0.000,-0.000,0.026,0.016,-0.047,-0.001,0.002,-0.001,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.870214000,0.081781000,0.307861,43,43.363255,4174,0.0014,-1.159,-0.058,0.157,0.001,0.000,0.001,0.025,0.017,-0.047,-0.018,0.027,0.008,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.870518000,0.082085000,0.319580,43,103.423309,4175,-0.0114,-1.159,-0.058,0.157,0.000,0.000,0.001,0.026,0.016,-0.047,0.001,0.007,0.002,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.870690000,0.082257000,0.329590,43,3355.704590,4176,-0.0098,-1.159,-0.058,0.157,-0.001,-0.000,-0.001,0.024,0.017,-0.047,-0.030,0.019,-0.010,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.870851000,0.082418000,0.337891,43,5917.159668,4177,-0.0081,-1.159,-0.058,0.157,0.000,0.000,-0.000,0.025,0.016,-0.047,0.002,-0.003,0.005,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.888475000,0.100042000,0.348389,43,6329.113770,4178,0.0071,-1.159,-0.058,0.157,0.000,-0.000,0.000,0.025,0.016,-0.047,0.007,-0.007,0.004,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.899898000,0.111465000,0.359131,43,56.750469,4179,0.0007,-1.159,-0.058,0.157,0.001,-0.000,0.001,0.025,0.017,-0.047,-0.007,0.012,0.007,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.903896000,0.115463000,0.369873,43,87.604027,4180,-0.0067,-1.159,-0.058,0.157,0.000,0.000,-0.000,0.026,0.016,-0.047,0.012,-0.011,-0.001,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.908514000,0.120081000,0.378906,43,250.438263,4181,-0.0044,-1.159,-0.058,0.157,-0.000,0.001,0.001,0.025,0.017,-0.047,-0.018,0.025,0.006,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.926410000,0.137977000,0.389648,43,216.825668,4182,0.0071,-1.159,-0.058,0.157,-0.000,0.000,0.000,0.026,0.016,-0.047,0.008,-0.006,0.001,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.940014000,0.151581000,0.400146,43,55.897148,4183,0.0031,-1.159,-0.058,0.157,-0.000,0.000,-0.000,0.025,0.016,-0.047,0.002,-0.010,0.000,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.940314000,0.151881000,0.409424,43,73.545631,4184,-0.0090,-1.159,-0.058,0.157,0.000,0.000,-0.000,0.026,0.016,-0.047,0.004,-0.008,0.001,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
20.947995000,0.159562000,0.419189,43,3401.360596,4185,-0.0021,-1.159,-0.058,0.157,0.000,0.000,-0.001,0.026,0.016,-0.047,0.002,-0.000,-0.000,-1.157,-0.060,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,80,1
