New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number, latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error
18.740048000,0.000264000,0.479980,43,127.177925,62739,0.0083,-1.159,-0.061,0.156,0.000,0.000,-0.000,0.026,0.025,-0.083,0.001,-0.008,0.001,-1.159,-0.061,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
18.756856000,0.017072000,0.489014,43,54.620930,62740,0.0078,-1.159,-0.061,0.157,0.000,0.000,0.001,0.026,0.025,-0.084,0.004,0.003,-0.001,-1.159,-0.061,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
18.769836000,0.030052000,0.500000,43,59.516724,62741,0.0020,-1.159,-0.061,0.157,0.000,-0.000,0.000,0.026,0.025,-0.083,-0.003,-0.001,0.001,-1.159,-0.061,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
18.770640000,0.030856000,0.509033,43,77.071289,62742,-0.0082,-1.159,-0.061,0.156,-0.000,-0.000,-0.000,0.026,0.025,-0.083,-0.009,-0.002,-0.001,-1.159,-0.061,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
18.770840000,0.031056000,0.519775,43,1251.564453,62743,-0.0105,-1.159,-0.061,0.157,0.000,-0.000,0.000,0.026,0.025,-0.083,0.002,0.009,-0.000,-1.159,-0.061,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
18.780895000,0.041111000,0.530029,43,5102.041016,62744,-0.0002,-1.159,-0.061,0.156,0.000,0.000,-0.000,0.026,0.025,-0.084,0.003,-0.002,-0.004,-1.159,-0.061,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
18.805224000,0.065440000,0.540039,43,99.482689,62745,0.0143,-1.159,-0.061,0.156,-0.000,0.000,-0.001,0.026,0.025,-0.083,0.001,-0.003,0.000,-1.159,-0.061,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
18.813183000,0.073399000,0.549316,43,41.116730,62746,-0.0013,-1.159,-0.061,0.156,-0.000,0.000,-0.000,0.026,0.025,-0.083,-0.009,-0.007,0.003,-1.159,-0.061,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
18.813407000,0.073623000,0.560059,43,125.722908,62747,-0.0105,-1.159,-0.061,0.156,0.000,0.000,-0.000,0.026,0.025,-0.084,-0.001,0.001,-0.002,-1.159,-0.061,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
18.821265000,0.081481000,0.570068,43,4566.209961,62748,-0.0022,-1.159,-0.061,0.157,0.000,-0.000,0.001,0.026,0.025,-0.083,0.001,0.002,0.002,-1.159,-0.061,0.157,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
