New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number, latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error
94.095247000,0.017716000,0.459473,43,96.543732,21492,0.0203,-1.156,-0.055,0.156,0.002,-0.001,-0.000,-0.049,-0.008,-0.028,0.048,-0.060,0.019,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,10450000
94.109828000,0.032297000,0.471191,43,41.375317,21493,0.0029,-1.156,-0.055,0.156,0.001,-0.001,0.000,-0.050,-0.007,-0.029,0.032,-0.028,0.007,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,18484000
94.110131000,0.032600000,0.486206,43,68.610634,21494,-0.0147,-1.156,-0.055,0.156,0.001,-0.000,-0.000,-0.050,-0.007,-0.029,0.018,-0.015,0.004,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,333000
94.110302000,0.032771000,0.494751,43,3367.003418,21495,-0.0084,-1.156,-0.055,0.156,-0.000,-0.001,0.000,-0.049,-0.006,-0.030,0.032,0.011,-0.015,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,511000
94.123869000,0.046338000,0.500000,43,5952.380859,21496,0.0083,-1.156,-0.055,0.156,-0.000,-0.000,0.001,-0.050,-0.006,-0.029,-0.003,0.005,-0.002,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,674000
94.134145000,0.056614000,0.514648,43,73.724564,21497,-0.0044,-1.156,-0.055,0.156,-0.000,-0.000,0.001,-0.050,-0.006,-0.029,-0.004,0.000,0.001,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,14380000
94.144601000,0.067070000,0.518921,43,97.370987,21498,0.0062,-1.156,-0.055,0.156,-0.000,0.001,0.001,-0.050,-0.007,-0.029,-0.012,-0.024,0.010,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,332000
94.157129000,0.079598000,0.535034,43,95.684624,21499,-0.0036,-1.156,-0.055,0.156,0.000,0.001,0.001,-0.050,-0.008,-0.029,-0.003,-0.029,0.012,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,10793000
94.157431000,0.079900000,0.544189,43,79.865822,21500,-0.0089,-1.156,-0.055,0.156,-0.000,0.000,0.001,-0.050,-0.007,-0.029,-0.002,-0.008,0.005,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,332000
94.181643000,0.104112000,0.544189,0,3367.003418,0,0,-1.156,-0.055,0.156,-0.000,0.000,0.001,-0.050,-0.007,-0.029,-0.002,-0.008,0.005,0.000,0.000,0.000,1500,1500,900,1500,0.000,0.000,0.000,0,77,2,1054000
94.206206000,0.128675000,0.556396,43,3367.003418,21501,0.0366,-1.156,-0.055,0.156,-0.000,0.000,0.000,-0.050,-0.007,-0.029,-0.004,-0.003,0.003,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,24905000
94.215198000,0.137667000,0.566650,43,20.503567,21502,-0.0013,-1.156,-0.055,0.156,0.000,0.000,-0.001,-0.050,-0.007,-0.029,-0.008,-0.010,0.006,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,10100000
94.215499000,0.137968000,0.574707,43,111.284218,21503,-0.0078,-1.156,-0.055,0.156,0.000,-0.000,0.000,-0.050,-0.007,-0.029,0.001,-0.000,0.001,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,332000
94.215669000,0.138138000,0.583252,43,3378.378418,21504,-0.0084,-1.156,-0.055,0.156,0.001,-0.000,-0.000,-0.049,-0.008,-0.029,0.018,-0.023,0.009,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,509000
94.215832000,0.138301000,0.594604,43,5988.023926,21505,-0.0112,-1.156,-0.055,0.156,0.000,0.000,0.000,-0.050,-0.007,-0.029,0.002,-0.011,0.005,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,671000
94.230816000,0.153285000,0.599976,43,6250.000000,21506,0.0096,-1.156,-0.055,0.156,-0.000,-0.000,-0.001,-0.050,-0.007,-0.029,-0.000,0.014,-0.003,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,832000
94.234585000,0.157054000,0.616577,43,66.751221,21507,-0.0128,-1.156,-0.055,0.156,-0.000,-0.000,0.000,-0.049,-0.007,-0.029,0.004,0.015,-0.005,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,15957000
94.246290000,0.168759000,0.624878,43,265.886719,21508,0.0034,-1.156,-0.055,0.156,-0.000,-0.000,-0.000,-0.050,-0.007,-0.029,-0.002,0.006,-0.003,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,330000
94.254435000,0.176904000,0.633301,43,85.477394,21509,-0.0003,-1.156,-0.055,0.156,-0.000,-0.000,-0.000,-0.049,-0.007,-0.029,0.015,0.011,-0.007,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,12041000
94.258776000,0.181245000,0.644287,43,122.895416,21510,-0.0067,-1.156,-0.055,0.156,0.000,-0.000,-0.001,-0.049,-0.008,-0.029,0.005,-0.013,0.008,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,395000
94.269626000,0.192095000,0.650024,43,230.680511,21511,0.0051,-1.156,-0.055,0.156,-0.001,0.000,0.002,-0.050,-0.007,-0.029,-0.002,-0.001,-0.004,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,4619000
94.294380000,0.216849000,0.665894,43,92.233902,21512,0.0089,-1.156,-0.055,0.157,-0.001,-0.000,0.002,-0.050,-0.005,-0.030,-0.010,0.036,-0.023,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,15528000
94.306665000,0.229134000,0.672363,43,40.408939,21513,0.0058,-1.156,-0.055,0.156,-0.001,-0.000,0.001,-0.049,-0.006,-0.030,0.022,0.000,-0.006,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,19892000
94.306966000,0.229435000,0.686279,43,81.453125,21514,-0.0136,-1.156,-0.055,0.156,-0.000,0.000,0.000,-0.050,-0.007,-0.029,0.006,-0.014,0.007,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,330000
94.309857000,0.232326000,0.695557,43,3378.378418,21515,-0.0064,-1.156,-0.055,0.157,0.000,0.001,0.001,-0.050,-0.007,-0.029,0.009,-0.027,0.012,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,506000
94.319005000,0.241474000,0.700195,43,346.260376,21516,0.0045,-1.156,-0.055,0.156,0.001,-0.001,-0.002,-0.050,-0.007,-0.029,-0.005,-0.023,0.012,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,3465000
94.329574000,0.252043000,0.714111,43,109.397224,21517,-0.0034,-1.156,-0.055,0.156,0.001,-0.000,-0.002,-0.049,-0.008,-0.028,0.009,-0.034,0.018,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,12679000
94.337074000,0.259543000,0.717529,43,94.688004,21518,0.0041,-1.156,-0.055,0.156,0.001,0.001,-0.001,-0.049,-0.008,-0.028,-0.016,-0.034,0.028,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,5316000
94.370842000,0.293311000,0.733276,43,133.475708,21519,0.0180,-1.156,-0.055,0.156,0.000,0.001,-0.000,-0.050,-0.007,-0.029,-0.014,-0.009,0.010,-1.061,-0.439,0.040,1500,1500,900,1500,0.000,0.000,0.000,1,77,1,12818000
94.374724000,0.297193000,0.745117,43,29.619976,21520,-0.0080,-1.156,-0.055,0.156,0.000,0.000,-0.000,-0.050,-0.007,-0.029,-0.018,-0.003,0.005,-1.156,-0.055,0.656,1500,1499,950,1495,-0.000,0.000,0.625,1,77,0,26006000
94.401722000,0.324191000,0.745117,0,258.064514,0,0,-1.156,-0.055,0.156,0.000,0.000,-0.000,-0.050,-0.007,-0.029,-0.018,-0.003,0.005,0.000,0.000,0.000,1500,1499,950,1495,0.000,0.000,0.000,0,77,2,527000
94.411547000,0.334016000,0.750000,43,258.064514,21521,0.0319,-1.156,-0.055,0.156,-0.000,-0.000,0.002,-0.050,-0.007,-0.029,-0.013,0.021,-0.005,-1.156,-0.055,0.656,1499,1500,1000,1495,-0.000,0.000,1.250,1,77,0,27325000
94.417435000,0.339904000,0.757812,43,27.160627,21522,-0.0019,-1.156,-0.055,0.157,-0.000,0.000,0.002,-0.049,-0.007,-0.029,0.007,0.001,0.002,-1.156,-0.055,0.656,1500,1500,1050,1495,0.000,0.000,1.875,1,77,0,4920000
94.425026000,0.347495000,0.771240,43,170.068024,21523,-0.0058,-1.156,-0.055,0.156,-0.000,0.000,0.001,-0.050,-0.007,-0.029,0.002,0.002,0.003,-1.156,-0.055,0.656,1499,1500,1100,1495,0.000,0.000,2.500,1,77,0,10739000
94.425344000,0.347813000,0.783325,43,131.821777,21524,-0.0118,-1.156,-0.055,0.156,-0.000,0.000,0.001,-0.050,-0.007,-0.029,-0.006,0.007,-0.004,-1.156,-0.055,0.656,1500,1500,1150,1495,0.000,0.000,3.125,1,77,0,348000
