New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number, latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error
46.886135000,0.000273000,0.407959,43,116.563705,63666,0.0054,-1.172,-0.094,0.180,-0.000,-0.000,0.000,0.016,-0.011,0.046,0.007,-0.004,-0.003,-1.172,-0.094,0.180,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
46.898439000,0.012577000,0.418701,43,75.182320,63667,0.0016,-1.172,-0.094,0.180,0.000,0.000,0.001,0.015,-0.011,0.045,-0.014,-0.020,-0.007,-1.172,-0.094,0.180,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
46.916148000,0.030286000,0.424561,43,81.320648,63668,0.0118,-1.172,-0.094,0.180,-0.000,-0.000,-0.001,0.016,-0.011,0.046,0.023,0.018,0.004,-1.172,-0.094,0.180,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
46.934316000,0.048454000,0.441284,43,56.484409,63669,0.0014,-1.172,-0.094,0.180,-0.001,-0.000,-0.001,0.016,-0.011,0.046,0.019,0.016,0.002,-1.172,-0.094,0.180,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
46.934609000,0.048747000,0.449951,43,55.060017,63670,-0.0084,-1.172,-0.094,0.180,-0.000,-0.000,-0.001,0.016,-0.011,0.046,0.007,0.013,0.001,-1.172,-0.094,0.180,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
46.934768000,0.048906000,0.458008,43,3472.222168,63671,-0.0079,-1.172,-0.094,0.180,0.000,-0.000,-0.001,0.016,-0.010,0.046,0.006,0.010,0.005,-1.172,-0.094,0.180,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
46.946634000,0.060772000,0.464600,43,6410.256348,63672,0.0053,-1.172,-0.094,0.180,0.003,-0.002,-0.002,0.015,-0.012,0.045,-0.016,-0.034,-0.023,-1.172,-0.094,0.180,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
46.965692000,0.079830000,0.479248,43,84.302818,63673,0.0044,-1.172,-0.094,0.180,0.001,-0.001,-0.001,0.016,-0.011,0.046,-0.004,-0.017,-0.007,-1.172,-0.094,0.180,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
46.965986000,0.080124000,0.489990,43,52.487926,63674,-0.0105,-1.172,-0.094,0.180,0.002,-0.001,0.000,0.014,-0.012,0.046,-0.046,-0.031,-0.003,-1.172,-0.094,0.180,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
46.974145000,0.088283000,0.494141,43,3472.222168,63675,0.0040,-1.172,-0.094,0.180,-0.002,0.001,-0.002,0.016,-0.011,0.046,0.055,0.038,-0.007,-1.172,-0.094,0.180,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
46.983005000,0.097143000,0.510620,43,122.609123,63676,-0.0076,-1.172,-0.094,0.180,-0.002,0.001,-0.001,0.016,-0.011,0.046,0.048,0.030,-0.004,-1.172,-0.094,0.180,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
46.993627000,0.107765000,0.514282,43,112.956062,63677,0.0070,-1.172,-0.094,0.180,-0.001,0.001,-0.000,0.016,-0.011,0.046,0.049,0.030,-0.008,-1.172,-0.094,0.180,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
