New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number, latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error
98.194534000,0.000288000,0.332031,43,61.713158,14932,0.0143,-1.205,-0.094,0.181,-0.000,-0.000,0.000,0.024,-0.013,-0.019,0.007,0.000,-0.002,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.194732000,0.000486000,0.341309,43,40.650406,14933,-0.0091,-1.205,-0.094,0.181,0.002,-0.003,-0.000,0.023,-0.014,-0.019,-0.020,-0.026,0.001,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.194891000,0.000645000,0.352051,43,5181.347168,14934,-0.0106,-1.205,-0.094,0.181,0.000,-0.001,-0.001,0.023,-0.014,-0.019,-0.009,-0.008,-0.000,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.205308000,0.011062000,0.360352,43,6410.256348,14935,0.0021,-1.205,-0.094,0.181,-0.001,0.001,0.001,0.023,-0.014,-0.019,0.003,0.003,-0.003,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.212940000,0.018694000,0.371094,43,96.024582,14936,-0.0031,-1.205,-0.094,0.181,0.001,-0.001,0.000,0.023,-0.014,-0.019,-0.008,-0.018,-0.000,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.222187000,0.027941000,0.382324,43,131.130341,14937,-0.0020,-1.205,-0.094,0.181,0.000,0.000,-0.000,0.023,-0.014,-0.019,0.003,-0.004,0.002,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.225143000,0.030897000,0.393066,43,108.213394,14938,-0.0078,-1.205,-0.094,0.181,-0.000,0.001,-0.000,0.023,-0.013,-0.019,0.006,0.012,-0.001,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.238918000,0.044672000,0.400879,43,339.213013,14939,0.0060,-1.205,-0.094,0.181,-0.001,0.001,-0.000,0.023,-0.013,-0.019,0.006,0.010,-0.001,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.242217000,0.047971000,0.411133,43,72.637466,14940,-0.0070,-1.205,-0.094,0.181,-0.001,0.000,0.001,0.024,-0.014,-0.019,0.006,-0.002,0.001,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.253614000,0.059368000,0.422363,43,303.674469,14941,0.0002,-1.205,-0.094,0.181,0.002,-0.001,-0.000,0.022,-0.014,-0.018,-0.026,-0.009,0.015,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.279836000,0.085590000,0.430664,43,87.788605,14942,0.0179,-1.205,-0.094,0.181,-0.000,-0.000,0.000,0.023,-0.014,-0.019,0.005,0.003,-0.012,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.292209000,0.097963000,0.440918,43,38.147556,14943,0.0021,-1.205,-0.094,0.181,0.000,-0.001,-0.000,0.022,-0.014,-0.018,-0.016,-0.004,0.008,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.303511000,0.109265000,0.451172,43,80.866890,14944,0.0010,-1.205,-0.094,0.181,-0.002,0.002,0.000,0.023,-0.014,-0.020,0.016,0.005,-0.022,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.310543000,0.116297000,0.462402,43,88.519073,14945,-0.0042,-1.205,-0.094,0.181,-0.001,0.001,0.001,0.024,-0.013,-0.019,0.017,0.010,-0.005,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.310772000,0.116526000,0.473145,43,142.308243,14946,-0.0105,-1.205,-0.094,0.181,-0.000,0.000,0.000,0.024,-0.013,-0.019,0.013,0.013,-0.004,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.314163000,0.119917000,0.479980,43,4484.305176,14947,-0.0034,-1.205,-0.094,0.181,-0.000,0.000,0.000,0.023,-0.013,-0.019,0.007,0.002,0.001,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.326391000,0.132145000,0.492188,43,295.159393,14948,0.0000,-1.205,-0.094,0.181,-0.000,0.000,0.000,0.023,-0.014,-0.019,0.002,-0.003,-0.001,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.336852000,0.142606000,0.502930,43,81.839760,14949,-0.0003,-1.205,-0.094,0.181,-0.000,-0.000,-0.000,0.023,-0.014,-0.019,0.001,-0.002,-0.002,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.344730000,0.150484000,0.511230,43,95.657166,14950,-0.0004,-1.205,-0.094,0.181,-0.001,0.002,0.001,0.024,-0.013,-0.020,0.013,0.002,-0.015,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
98.354397000,0.160151000,0.521973,43,127.032524,14951,-0.0011,-1.205,-0.094,0.181,0.002,-0.001,0.000,0.022,-0.014,-0.018,-0.029,-0.012,0.016,-1.187,-0.546,0.066,1500,1500,900,1500,0.000,0.000,0.000,1,81,1
