New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number, latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error
87.869512000,0.000335000,0.459961,43,34482.757812,6538,0.0107,-1.179,-0.107,0.181,0.001,-0.001,-0.001,0.018,-0.012,0.009,-0.016,-0.014,0.001,-1.179,-0.107,0.181,1500,1500,900,1500,0.000,0.000,0.000,1,82,1
87.886899000,0.017722000,0.470703,43,45.626682,6539,0.0066,-1.179,-0.107,0.181,-0.000,0.000,0.000,0.019,-0.011,0.009,0.013,0.001,-0.002,-1.179,-0.107,0.181,1500,1500,900,1500,0.000,0.000,0.000,1,82,1
87.887196000,0.018019000,0.479980,43,57.534088,6540,-0.0090,-1.179,-0.107,0.181,-0.001,0.001,-0.000,0.019,-0.011,0.009,0.014,0.010,-0.003,-1.179,-0.107,0.181,1500,1500,900,1500,0.000,0.000,0.000,1,82,1
87.887359000,0.018182000,0.490723,43,3424.657471,6541,-0.0106,-1.179,-0.107,0.181,-0.000,0.001,-0.001,0.019,-0.011,0.009,0.000,0.007,-0.001,-1.179,-0.107,0.181,1500,1500,900,1500,0.000,0.000,0.000,1,82,1
87.902243000,0.033066000,0.500488,43,6250.000000,6542,0.0051,-1.179,-0.107,0.181,-0.000,-0.000,0.000,0.019,-0.011,0.009,0.001,0.002,-0.001,-1.179,-0.107,0.181,1500,1500,900,1500,0.000,0.000,0.000,1,82,1
87.909496000,0.040319000,0.508789,43,67.199783,6543,-0.0011,-1.179,-0.107,0.181,0.002,-0.002,-0.000,0.017,-0.012,0.009,-0.039,-0.028,0.017,-1.179,-0.107,0.181,1500,1500,900,1500,0.000,0.000,0.000,1,82,1
87.915350000,0.046173000,0.520020,43,138.026230,6544,-0.0054,-1.179,-0.107,0.180,0.003,-0.001,-0.001,0.017,-0.012,0.009,-0.043,-0.030,0.006,-1.179,-0.107,0.181,1500,1500,900,1500,0.000,0.000,0.000,1,82,1
87.925777000,0.056600000,0.530273,43,170.969391,6545,0.0002,-1.179,-0.107,0.181,0.001,-0.001,-0.000,0.018,-0.012,0.009,-0.004,-0.002,0.002,-1.179,-0.107,0.181,1500,1500,900,1500,0.000,0.000,0.000,1,82,1
87.950220000,0.081043000,0.540527,43,95.978500,6546,0.0142,-1.179,-0.107,0.181,-0.001,0.001,0.001,0.019,-0.011,0.009,0.018,0.013,-0.003,-1.179,-0.107,0.181,1500,1500,900,1500,0.000,0.000,0.000,1,82,1
87.966949000,0.097772000,0.551270,43,40.924904,6547,0.0060,-1.179,-0.107,0.181,-0.001,0.001,0.001,0.019,-0.011,0.009,0.021,0.013,-0.004,-1.179,-0.107,0.181,1500,1500,900,1500,0.000,0.000,0.000,1,82,1
