New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number, latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error
41.306047000,0.000285000,0.482544,43,113.045441,40622,-0.0080,-1.189,-0.121,0.181,-0.000,-0.000,0.000,0.017,-0.008,-0.024,0.004,0.007,-0.002,-1.178,-0.111,0.196,1500,1500,900,1500,0.000,0.000,0.000,1,83,1
41.321444000,0.015682000,0.488647,43,131.010086,40623,0.0093,-1.189,-0.121,0.181,0.000,-0.000,-0.000,0.017,-0.008,-0.024,-0.002,0.009,-0.003,-1.178,-0.111,0.196,1500,1500,900,1500,0.000,0.000,0.000,1,83,1
41.329057000,0.023295000,0.502197,43,64.973038,40624,-0.0059,-1.189,-0.121,0.181,0.000,-0.000,0.000,0.017,-0.008,-0.024,0.003,0.003,-0.002,-1.178,-0.111,0.196,1500,1500,900,1500,0.000,0.000,0.000,1,83,1
41.333816000,0.028054000,0.510742,43,131.440582,40625,-0.0038,-1.189,-0.120,0.181,0.001,0.001,-0.001,0.017,-0.008,-0.023,-0.017,0.014,0.015,-1.178,-0.111,0.196,1500,1500,900,1500,0.000,0.000,0.000,1,83,1
41.357982000,0.052220000,0.516846,43,210.349182,40626,0.0181,-1.189,-0.121,0.181,0.000,-0.001,0.000,0.017,-0.008,-0.024,0.004,-0.005,-0.010,-1.178,-0.111,0.196,1500,1500,900,1500,0.000,0.000,0.000,1,83,1
41.365334000,0.059572000,0.531250,43,41.392441,40627,-0.0071,-1.189,-0.120,0.181,0.000,-0.000,0.000,0.016,-0.007,-0.024,-0.008,0.006,0.000,-1.178,-0.111,0.196,1500,1500,900,1500,0.000,0.000,0.000,1,83,1
41.365635000,0.059873000,0.534912,43,136.128510,40628,-0.0034,-1.189,-0.121,0.181,0.001,-0.002,-0.000,0.017,-0.008,-0.024,0.033,-0.033,-0.025,-1.178,-0.111,0.196,1500,1500,900,1500,0.000,0.000,0.000,1,83,1
41.379583000,0.073821000,0.550049,43,3378.378418,40629,-0.0012,-1.189,-0.121,0.181,0.002,-0.004,-0.000,0.017,-0.009,-0.024,0.016,-0.045,-0.018,-1.178,-0.111,0.196,1500,1500,900,1500,0.000,0.000,0.000,1,83,1
41.384698000,0.078936000,0.560669,43,71.715431,40630,-0.0055,-1.189,-0.121,0.181,-0.000,-0.001,0.000,0.017,-0.009,-0.024,0.017,-0.019,-0.016,-1.178,-0.111,0.196,1500,1500,900,1500,0.000,0.000,0.000,1,83,1
41.393998000,0.088236000,0.566650,43,195.733017,40631,0.0033,-1.189,-0.121,0.181,-0.001,0.001,-0.000,0.017,-0.008,-0.024,0.035,0.009,-0.015,-1.178,-0.111,0.196,1500,1500,900,1500,0.000,0.000,0.000,1,83,1
41.413658000,0.107896000,0.582520,43,107.584724,40632,0.0038,-1.189,-0.121,0.181,-0.001,0.001,-0.000,0.017,-0.008,-0.024,0.028,0.008,-0.011,-1.178,-0.111,0.196,1500,1500,900,1500,0.000,0.000,0.000,1,83,1
41.423871000,0.118109000,0.586060,43,50.880226,40633,0.0067,-1.189,-0.121,0.181,-0.001,0.001,0.000,0.018,-0.008,-0.024,0.032,0.007,-0.011,-1.178,-0.111,0.196,1500,1500,900,1500,0.000,0.000,0.000,1,83,1
41.437763000,0.132001000,0.603027,43,97.971977,40634,-0.0031,-1.189,-0.121,0.181,-0.001,0.001,-0.000,0.017,-0.008,-0.024,0.023,0.004,-0.007,-1.178,-0.111,0.196,1500,1500,900,1500,0.000,0.000,0.000,1,83,1
