New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number, latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error
81.503182000,0.000287000,0.150635,43,71.628105,15536,-0.0028,-1.163,-0.052,0.174,0.000,0.000,0.002,0.024,0.026,-0.079,-0.015,0.027,-0.011,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.508952000,0.006057000,0.154297,43,68.994064,15537,0.0021,-1.163,-0.052,0.174,0.000,0.002,0.001,0.023,0.026,-0.080,-0.059,-0.026,-0.046,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.509161000,0.006266000,0.168945,43,173.490631,15538,-0.0144,-1.163,-0.052,0.174,-0.001,0.001,0.000,0.024,0.026,-0.079,-0.027,-0.014,-0.021,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.518113000,0.015218000,0.181152,43,4901.960938,15539,-0.0033,-1.163,-0.052,0.174,-0.001,0.000,-0.000,0.024,0.026,-0.079,-0.015,-0.010,-0.009,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.537222000,0.034327000,0.185059,43,111.744331,15540,0.0152,-1.163,-0.052,0.174,0.001,0.000,0.002,0.024,0.026,-0.079,-0.014,-0.006,-0.015,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.545785000,0.042890000,0.196045,43,52.353279,15541,-0.0024,-1.163,-0.052,0.174,0.001,0.000,0.001,0.024,0.026,-0.079,-0.017,-0.007,-0.011,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.554662000,0.051767000,0.209717,43,116.863388,15542,-0.0048,-1.163,-0.052,0.174,0.002,0.001,0.001,0.024,0.026,-0.079,-0.015,-0.003,-0.018,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.560713000,0.057818000,0.212646,43,112.739571,15543,0.0031,-1.163,-0.052,0.174,-0.004,-0.002,-0.002,0.024,0.026,-0.079,0.016,0.008,0.032,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.568107000,0.065212000,0.229736,43,165.398605,15544,-0.0097,-1.163,-0.052,0.174,-0.003,-0.001,-0.001,0.024,0.026,-0.079,0.011,0.004,0.023,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.596536000,0.093641000,0.239746,43,135.336304,15545,0.0184,-1.163,-0.052,0.174,-0.002,-0.001,-0.001,0.024,0.026,-0.079,0.003,0.004,0.012,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.603839000,0.100944000,0.246094,43,35.185249,15546,0.0009,-1.163,-0.052,0.174,0.001,-0.000,-0.002,0.025,0.025,-0.079,0.028,-0.031,0.004,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.604068000,0.101173000,0.253418,43,137.061401,15547,-0.0071,-1.163,-0.052,0.174,-0.001,-0.000,-0.002,0.025,0.025,-0.079,0.023,-0.014,0.006,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.609862000,0.106967000,0.268066,43,4484.305176,15548,-0.0089,-1.163,-0.052,0.174,-0.001,-0.000,-0.001,0.024,0.026,-0.079,0.011,-0.001,0.008,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.620214000,0.117319000,0.281250,43,172.711578,15549,-0.0028,-1.163,-0.052,0.174,-0.001,-0.000,-0.001,0.024,0.026,-0.079,0.003,-0.000,0.007,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.645336000,0.142441000,0.285156,43,96.665054,15550,0.0212,-1.163,-0.052,0.174,-0.002,-0.001,-0.001,0.024,0.026,-0.079,0.010,0.009,0.004,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.654994000,0.152099000,0.296143,43,39.818428,15551,-0.0013,-1.163,-0.052,0.174,-0.001,-0.000,-0.001,0.024,0.026,-0.079,0.005,0.009,0.002,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.655287000,0.152392000,0.309814,43,103.605469,15552,-0.0134,-1.163,-0.052,0.174,-0.001,-0.000,-0.001,0.024,0.026,-0.079,0.010,0.005,0.004,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.658823000,0.155928000,0.315186,43,3472.222168,15553,-0.0018,-1.163,-0.052,0.174,0.002,0.001,0.001,0.024,0.026,-0.079,-0.013,-0.007,-0.013,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.667967000,0.165072000,0.331055,43,283.125702,15554,-0.0067,-1.163,-0.052,0.174,0.002,0.000,0.001,0.024,0.026,-0.079,-0.004,-0.008,-0.008,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.676792000,0.173897000,0.338867,43,109.457092,15555,0.0010,-1.163,-0.052,0.174,0.000,-0.000,0.000,0.024,0.026,-0.079,-0.007,0.000,-0.001,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.696033000,0.193138000,0.346191,43,113.417259,15556,0.0119,-1.163,-0.052,0.174,0.000,0.000,-0.001,0.023,0.026,-0.080,-0.035,0.007,-0.026,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
81.703469000,0.200574000,0.359131,43,51.993969,15557,-0.0055,-1.163,-0.052,0.174,0.001,0.000,-0.000,0.024,0.026,-0.079,-0.016,0.006,-0.011,-1.158,-0.054,0.174,1500,1500,900,1500,0.000,0.000,0.000,1,78,1
