New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z
41.482242000,0.000315000,0.400879,43,162.680984,61965,0.0054,-0.078,2.473,0.919,-0.022,-0.008,-0.013,-0.122,0.019,0.087,-0.040,0.029,0.113,-0.092,2.853,1.076,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.492545000,0.010618000,0.410889,43,65.889175,61966,0.0003,-0.078,2.473,0.919,-0.023,-0.007,-0.015,-0.123,0.019,0.088,-0.054,0.033,0.093,-0.092,2.853,1.076,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.507844000,0.025917000,0.420898,43,97.115662,61967,0.0053,-0.078,2.473,0.919,-0.024,-0.006,-0.017,-0.122,0.020,0.088,-0.028,0.036,0.082,-0.092,2.853,1.076,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.516200000,0.034273000,0.430908,43,65.393669,61968,-0.0017,-0.079,2.473,0.919,-0.025,-0.006,-0.016,-0.122,0.020,0.089,-0.011,0.036,0.073,-0.077,2.473,1.020,1498,1506,950,1512,0.001,0.000,0.126,1,79,0,0.003,0.000,0.000,0.003,0.001,0.000,0.101
41.523005000,0.041078000,0.440918,43,119.746140,61969,-0.0032,-0.079,2.473,0.918,-0.025,-0.005,-0.017,-0.121,0.021,0.089,0.020,0.038,0.054,-0.077,2.473,1.020,1498,1507,1000,1512,0.003,0.001,0.253,1,79,0,0.003,0.000,0.000,0.003,0.002,0.000,0.101
41.538760000,0.056833000,0.449951,43,147.058823,61970,0.0067,-0.079,2.473,0.918,-0.026,-0.005,-0.016,-0.119,0.021,0.089,0.062,0.050,0.053,-0.077,2.473,1.020,1499,1507,1050,1512,0.005,0.001,0.379,1,79,0,0.004,0.000,0.000,0.004,0.002,0.000,0.101
41.539124000,0.057197000,0.460938,43,63.504158,61971,-0.0106,-0.079,2.473,0.918,-0.025,-0.004,-0.015,-0.116,0.022,0.089,0.104,0.043,0.047,-0.077,2.473,1.020,1499,1507,1100,1512,0.007,0.001,0.506,1,79,0,0.004,0.000,0.000,0.004,0.002,0.000,0.101
41.547071000,0.065144000,0.470947,43,2801.120361,61972,-0.0021,-0.080,2.473,0.918,-0.024,-0.004,-0.014,-0.113,0.021,0.090,0.161,0.028,0.045,-0.077,2.473,1.020,1499,1507,1150,1512,0.010,0.002,0.633,1,79,0,0.005,0.000,0.000,0.005,0.002,0.000,0.102
41.560139000,0.078212000,0.479004,43,125.881165,61973,0.0050,-0.080,2.473,0.918,-0.025,-0.004,-0.016,-0.110,0.021,0.090,0.227,0.001,0.044,-0.077,2.473,1.020,1499,1507,1200,1512,0.013,0.002,0.760,1,79,0,0.005,0.000,0.000,0.005,0.003,0.000,0.102
41.568678000,0.086751000,0.490967,43,76.563812,61974,-0.0034,-0.080,2.473,0.918,-0.022,-0.003,-0.013,-0.107,0.020,0.091,0.223,-0.015,0.043,-0.077,2.473,1.020,1499,1506,1250,1512,0.015,0.002,0.887,1,79,0,0.006,0.000,0.000,0.006,0.003,0.000,0.102
41.579510000,0.097583000,0.500977,43,117.205811,61975,0.0008,-0.080,2.473,0.918,-0.021,-0.004,-0.010,-0.105,0.020,0.091,0.206,-0.005,0.049,-0.077,2.473,1.020,1499,1506,1300,1512,0.018,0.003,1.014,1,79,0,0.006,0.000,0.000,0.006,0.003,0.000,0.102
41.587001000,0.105074000,0.510498,43,92.370216,61976,-0.0020,-0.080,2.473,0.918,-0.020,-0.005,-0.006,-0.104,0.021,0.091,0.183,0.009,0.029,-0.077,2.473,1.020,1499,1506,1350,1512,0.022,0.003,1.142,1,79,0,0.006,0.000,0.000,0.006,0.003,0.001,0.102
