New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z,P_term_vel_x,I_term_vel_x,D_term_vel_x,error_vel_x,d_error_vel_x,desired_pitch_angle
61.617015000,0.010081000,0.469482,43,161.864685,20361,0.0001,-0.102,2.262,0.885,-0.007,-0.021,0.003,0.042,-0.016,0.039,-0.007,-0.031,0.015,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.629961000,0.023027000,0.479736,43,79.987206,20362,0.0027,-0.102,2.262,0.885,-0.006,-0.020,0.005,0.041,-0.015,0.039,-0.046,-0.003,0.012,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.641575000,0.034641000,0.489990,43,77.285728,20363,0.0014,-0.102,2.262,0.885,-0.005,-0.018,0.006,0.040,-0.015,0.039,-0.053,0.011,0.010,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.654843000,0.047909000,0.500000,43,86.147484,20364,0.0033,-0.102,2.262,0.886,-0.003,-0.017,0.009,0.040,-0.014,0.039,-0.034,0.021,0.002,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.658795000,0.051861000,0.509277,43,75.397720,20365,-0.0053,-0.102,2.262,0.886,-0.001,-0.016,0.011,0.041,-0.014,0.039,-0.005,0.020,-0.008,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.667247000,0.060313000,0.519775,43,253.613998,20366,-0.0021,-0.102,2.262,0.886,-0.000,-0.015,0.011,0.041,-0.013,0.039,-0.008,0.032,-0.005,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.680466000,0.073532000,0.530273,43,118.427284,20367,0.0027,-0.102,2.261,0.886,0.001,-0.014,0.012,0.039,-0.013,0.039,-0.038,0.043,0.004,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.690913000,0.083979000,0.539795,43,75.694496,20368,0.0009,-0.102,2.261,0.886,0.002,-0.014,0.014,0.037,-0.012,0.039,-0.090,0.052,0.016,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.702989000,0.096055000,0.549805,43,95.776268,20369,0.0021,-0.102,2.261,0.886,0.001,-0.014,0.016,0.034,-0.012,0.040,-0.140,0.046,0.022,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.706470000,0.099536000,0.559082,43,82.856903,20370,-0.0058,-0.102,2.261,0.887,0.001,-0.013,0.018,0.031,-0.011,0.040,-0.177,0.049,0.033,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.717441000,0.110507000,0.570312,43,287.687012,20371,-0.0003,-0.102,2.261,0.887,0.002,-0.013,0.018,0.030,-0.010,0.041,-0.174,0.051,0.039,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.729478000,0.122544000,0.580322,43,91.207588,20372,0.0020,-0.102,2.261,0.887,0.002,-0.012,0.019,0.028,-0.010,0.042,-0.168,0.056,0.041,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.740037000,0.133103000,0.590088,43,83.125519,20373,0.0008,-0.102,2.261,0.887,0.003,-0.012,0.020,0.027,-0.009,0.042,-0.148,0.056,0.037,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.748802000,0.141868000,0.599854,43,94.759781,20374,-0.0010,-0.102,2.261,0.888,0.003,-0.011,0.022,0.025,-0.008,0.041,-0.173,0.067,0.015,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.762998000,0.156064000,0.609863,43,114.194359,20375,0.0042,-0.102,2.261,0.888,0.000,-0.010,0.022,0.022,-0.008,0.040,-0.200,0.045,-0.013,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.767023000,0.160089000,0.619629,43,70.482094,20376,-0.0057,-0.102,2.260,0.888,0.000,-0.012,0.021,0.020,-0.009,0.041,-0.208,0.023,-0.001,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.776980000,0.170046000,0.629883,43,248.818115,20377,-0.0003,-0.102,2.260,0.888,0.000,-0.012,0.020,0.018,-0.010,0.041,-0.193,-0.005,0.015,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.793540000,0.186606000,0.640137,43,100.512611,20378,0.0063,-0.102,2.260,0.888,-0.001,-0.012,0.019,0.017,-0.011,0.042,-0.164,-0.035,0.025,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.802147000,0.195213000,0.648682,43,60.412010,20379,0.0001,-0.102,2.260,0.888,-0.002,-0.011,0.017,0.017,-0.012,0.042,-0.125,-0.049,0.036,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.818436000,0.211502000,0.659912,43,116.279068,20380,0.0051,-0.102,2.260,0.888,-0.003,-0.009,0.014,0.018,-0.012,0.043,-0.081,-0.049,0.031,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.818775000,0.211841000,0.670166,43,61.421288,20381,-0.0099,-0.102,2.260,0.889,-0.003,-0.008,0.011,0.019,-0.012,0.043,-0.039,-0.039,0.027,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.832336000,0.225402000,0.680176,43,2994.011963,20382,0.0035,-0.102,2.260,0.889,-0.003,-0.006,0.008,0.020,-0.012,0.043,-0.008,-0.024,0.018,-0.927,1.649,0.132,1500,1500,900,1500,0.000,0.000,0.000,1,83,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.847350000,0.240416000,0.690186,43,73.757195,20383,0.0050,-0.102,2.260,0.888,-0.004,-0.005,0.006,0.021,-0.012,0.043,0.019,-0.016,0.016,-0.102,2.260,0.298,1498,1500,950,1506,0.000,0.000,-0.738,1,83,0,0.000,0.000,0.004,0.004,0.000,0.000,-0.591,0.000,0.074,0.000,0.007,0.738,0.074
61.855226000,0.248292000,0.698975,43,66.631126,20384,-0.0009,-0.103,2.260,0.888,-0.005,-0.005,0.003,0.021,-0.012,0.043,0.023,-0.019,0.024,-0.102,2.260,0.298,1498,1500,1000,1506,0.001,0.000,-1.477,1,83,0,0.000,0.000,0.005,0.005,0.000,0.000,-0.591,0.000,0.167,0.000,0.009,0.217,0.167
61.863410000,0.256476000,0.710205,43,127.080948,20385,-0.0031,-0.103,2.260,0.888,-0.005,-0.006,0.002,0.021,-0.013,0.044,0.008,-0.037,0.035,-0.102,2.260,0.298,1498,1500,1047,1506,0.001,0.001,-2.215,1,83,0,0.000,0.000,0.005,0.005,0.000,0.000,-0.591,0.000,0.270,0.000,0.010,0.092,0.270
61.866348000,0.259414000,0.718262,43,122.279289,20386,-0.0051,-0.103,2.260,0.888,-0.007,-0.009,-0.001,0.020,-0.015,0.045,-0.022,-0.067,0.048,-0.102,2.260,0.298,1498,1500,1048,1506,0.001,0.001,-2.953,1,83,0,0.000,0.000,0.007,0.007,0.000,0.000,-0.591,0.000,0.408,0.000,0.014,0.436,0.408
61.878220000,0.271286000,0.729736,43,341.064117,20387,0.0004,-0.103,2.260,0.888,-0.008,-0.009,-0.002,0.019,-0.016,0.045,-0.032,-0.079,0.039,-0.102,2.260,0.298,1498,1500,1047,1506,0.002,0.002,-3.691,1,83,0,0.000,0.000,0.008,0.008,0.001,0.001,-0.591,0.000,0.567,0.000,0.016,0.177,0.567
61.898446000,0.291512000,0.739746,43,84.288605,20388,0.0102,-0.103,2.259,0.888,-0.007,-0.010,-0.004,0.021,-0.018,0.045,0.016,-0.110,0.046,-0.102,2.260,0.298,1497,1500,1047,1506,0.003,0.003,-4.429,1,83,0,0.000,0.000,0.007,0.008,0.001,0.001,-0.590,0.000,0.716,-0.000,0.015,-0.096,0.716
61.903833000,0.296899000,0.750000,43,49.460876,20389,-0.0049,-0.103,2.259,0.888,-0.007,-0.010,-0.006,0.023,-0.020,0.046,0.075,-0.126,0.047,-0.102,2.260,0.298,1497,1500,1047,1506,0.003,0.003,-5.167,1,83,0,0.000,0.000,0.007,0.008,0.001,0.001,-0.590,0.000,0.867,0.000,0.015,0.018,0.867
61.910027000,0.303093000,0.760254,43,185.908157,20390,-0.0041,-0.103,2.259,0.888,-0.009,-0.010,-0.008,0.026,-0.021,0.046,0.125,-0.130,0.035,-0.102,2.260,0.298,1497,1501,1048,1506,0.004,0.004,-5.905,1,83,0,0.000,0.000,0.009,0.010,0.001,0.001,-0.590,0.000,1.060,0.000,0.019,0.406,1.060
61.918253000,0.311319000,0.769775,43,161.576996,20391,-0.0013,-0.103,2.259,0.888,-0.014,-0.009,-0.008,0.027,-0.021,0.045,0.113,-0.101,0.006,-0.102,2.260,0.298,1498,1501,1047,1506,0.005,0.005,-6.642,1,83,0,0.001,0.000,0.014,0.014,0.001,0.001,-0.590,0.000,1.344,0.000,0.028,0.960,1.344
61.927843000,0.320909000,0.780029,43,121.669304,20392,-0.0007,-0.103,2.259,0.888,-0.014,-0.009,-0.008,0.030,-0.023,0.045,0.161,-0.104,-0.004,-0.102,2.260,0.298,1498,1501,1046,1506,0.007,0.006,-7.380,1,83,0,0.001,0.000,0.014,0.015,0.001,0.001,-0.590,0.000,1.630,0.000,0.029,0.023,1.630
