New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z
50.271962000,0.000294000,0.169434,43,73.778961,44397,0.0105,-0.090,2.475,0.888,-0.019,-0.009,0.010,0.054,-0.029,0.042,0.129,-0.109,-0.006,-0.107,2.861,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,76,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50.272189000,0.000521000,0.179688,43,49.465771,44398,-0.0100,-0.090,2.475,0.888,-0.019,-0.009,0.011,0.053,-0.032,0.043,0.083,-0.144,0.024,-0.107,2.861,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,76,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50.282621000,0.010953000,0.189453,43,4524.886719,44399,0.0007,-0.090,2.475,0.888,-0.021,-0.009,0.012,0.053,-0.035,0.044,0.050,-0.185,0.041,-0.107,2.861,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,76,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50.298103000,0.026435000,0.199707,43,95.886467,44400,0.0052,-0.091,2.475,0.888,-0.022,-0.010,0.012,0.053,-0.037,0.043,0.040,-0.192,0.013,-0.107,2.861,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,76,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50.302579000,0.030911000,0.209473,43,64.620354,44401,-0.0053,-0.091,2.475,0.888,-0.022,-0.009,0.011,0.055,-0.039,0.042,0.089,-0.199,-0.031,-0.090,2.476,0.988,1498,1510,950,1505,0.001,0.001,0.124,1,76,0,0.000,0.000,0.022,0.022,0.001,0.001,0.099
50.311168000,0.039500000,0.219727,43,223.713654,44402,-0.0017,-0.091,2.475,0.888,-0.022,-0.009,0.011,0.058,-0.041,0.039,0.120,-0.189,-0.083,-0.090,2.476,0.988,1498,1511,1000,1505,0.003,0.001,0.248,1,76,0,0.000,0.000,0.022,0.022,0.002,0.001,0.099
50.321706000,0.050038000,0.229492,43,116.509377,44403,0.0008,-0.091,2.475,0.888,-0.022,-0.008,0.011,0.060,-0.041,0.037,0.142,-0.154,-0.116,-0.090,2.476,0.988,1498,1510,1050,1505,0.005,0.002,0.372,1,76,0,0.000,0.000,0.022,0.022,0.002,0.001,0.099
50.332241000,0.060573000,0.239746,43,94.966759,44404,0.0003,-0.091,2.475,0.888,-0.019,-0.006,0.009,0.065,-0.043,0.035,0.235,-0.163,-0.142,-0.090,2.476,0.988,1498,1509,1100,1504,0.006,0.003,0.496,1,76,0,0.000,0.000,0.019,0.019,0.002,0.001,0.099
50.340227000,0.068559000,0.250000,43,94.975784,44405,-0.0023,-0.092,2.475,0.889,-0.020,-0.005,0.008,0.068,-0.043,0.034,0.255,-0.114,-0.139,-0.090,2.476,0.988,1498,1509,1150,1504,0.008,0.003,0.620,1,76,0,0.000,0.000,0.020,0.020,0.002,0.001,0.099
50.348192000,0.076524000,0.259277,43,125.328987,44406,-0.0013,-0.092,2.475,0.889,-0.021,-0.003,0.009,0.070,-0.042,0.032,0.238,-0.055,-0.138,-0.090,2.476,0.988,1499,1510,1200,1504,0.011,0.004,0.743,1,76,0,0.000,0.000,0.021,0.021,0.002,0.001,0.099
50.358209000,0.086541000,0.269531,43,125.628143,44407,-0.0002,-0.092,2.475,0.889,-0.026,-0.002,0.012,0.067,-0.038,0.032,0.108,0.047,-0.116,-0.090,2.476,0.988,1499,1513,1250,1504,0.013,0.005,0.867,1,76,0,0.000,0.000,0.026,0.026,0.003,0.001,0.099
50.381451000,0.109783000,0.279785,43,99.920067,44408,0.0130,-0.092,2.475,0.889,-0.022,-0.000,0.010,0.070,-0.038,0.032,0.155,0.035,-0.089,-0.090,2.476,0.988,1499,1511,1300,1504,0.016,0.005,0.990,1,76,0,0.000,0.000,0.022,0.022,0.003,0.001,0.099
50.381783000,0.110115000,0.289551,43,43.038521,44409,-0.0094,-0.093,2.475,0.889,-0.021,0.001,0.010,0.071,-0.039,0.032,0.148,0.016,-0.062,-0.090,2.476,0.988,1500,1510,1350,1504,0.019,0.006,1.113,1,76,0,0.000,0.000,0.021,0.021,0.003,0.001,0.099
50.388400000,0.116732000,0.299805,43,3058.104004,44410,-0.0036,-0.093,2.475,0.889,-0.022,0.001,0.010,0.070,-0.039,0.033,0.085,0.001,-0.033,-0.090,2.476,0.988,1500,1510,1400,1504,0.023,0.006,1.236,1,76,0,0.000,0.000,0.022,0.022,0.003,0.001,0.098
50.401425000,0.129757000,0.309570,43,151.194443,44411,0.0033,-0.093,2.475,0.889,-0.021,-0.000,0.011,0.069,-0.040,0.033,0.040,-0.031,-0.018,-0.090,2.476,0.988,1499,1510,1450,1504,0.026,0.007,1.359,1,76,0,0.000,0.000,0.021,0.021,0.003,0.001,0.098
50.412148000,0.140480000,0.319824,43,76.816719,44412,0.0005,-0.093,2.475,0.889,-0.020,-0.001,0.011,0.068,-0.042,0.033,0.003,-0.065,-0.002,-0.090,2.476,0.988,1499,1509,1500,1504,0.030,0.007,1.482,1,76,0,0.000,0.000,0.020,0.020,0.004,0.001,0.098
50.423476000,0.151808000,0.329102,43,93.309692,44413,0.0020,-0.093,2.475,0.889,-0.018,-0.002,0.012,0.067,-0.043,0.034,-0.027,-0.077,0.023,-0.090,2.476,0.988,1499,1509,1550,1504,0.033,0.008,1.604,1,76,0,0.000,0.000,0.018,0.018,0.004,0.001,0.098
50.428248000,0.156580000,0.339844,43,88.323616,44414,-0.0060,-0.094,2.475,0.890,-0.021,-0.007,0.017,0.061,-0.041,0.036,-0.167,-0.016,0.062,-0.090,2.476,0.988,1498,1510,1600,1505,0.037,0.009,1.726,1,76,0,0.000,0.000,0.021,0.021,0.004,0.001,0.098
50.441918000,0.170250000,0.349609,43,209.775543,44415,0.0039,-0.094,2.474,0.890,-0.022,-0.010,0.020,0.058,-0.040,0.036,-0.195,0.026,0.044,-0.090,2.476,0.988,1497,1510,1650,1505,0.042,0.010,1.848,1,76,0,0.000,0.000,0.022,0.022,0.004,0.001,0.097
50.453945000,0.182277000,0.359375,43,73.190369,44416,0.0023,-0.094,2.475,0.890,-0.009,-0.003,0.014,0.069,-0.044,0.035,0.139,-0.083,0.011,-0.090,2.476,0.988,1499,1504,1700,1504,0.046,0.011,1.970,1,76,0,0.000,0.000,0.009,0.009,0.004,0.001,0.097
50.458369000,0.186701000,0.369629,43,83.194679,44417,-0.0058,-0.094,2.475,0.890,-0.007,-0.004,0.016,0.071,-0.044,0.036,0.156,-0.079,0.031,-0.090,2.476,0.988,1499,1503,1750,1505,0.050,0.012,2.092,1,76,0,0.000,0.000,0.007,0.007,0.004,0.001,0.097
50.469708000,0.198040000,0.379883,43,226.295547,44418,0.0011,-0.094,2.474,0.891,-0.004,-0.005,0.018,0.071,-0.046,0.037,0.118,-0.087,0.049,-0.090,2.476,0.988,1498,1502,1800,1505,0.054,0.013,2.213,1,76,0,0.000,0.000,0.004,0.004,0.004,0.001,0.097
50.480117000,0.208449000,0.389648,43,88.245674,44419,0.0006,-0.094,2.474,0.891,-0.003,-0.007,0.019,0.071,-0.047,0.038,0.071,-0.103,0.060,-0.090,2.476,0.988,1498,1501,1850,1505,0.058,0.014,2.334,1,76,0,0.000,0.000,0.003,0.003,0.004,0.001,0.097
50.489551000,0.217883000,0.399414,43,96.135361,44420,-0.0003,-0.093,2.474,0.891,-0.002,-0.010,0.020,0.069,-0.048,0.039,0.011,-0.108,0.058,-0.090,2.476,0.988,1497,1501,1859,1505,0.061,0.016,2.455,1,76,0,0.000,0.000,0.002,0.002,0.004,0.001,0.097
50.499290000,0.227622000,0.409668,43,106.089539,44421,-0.0005,-0.094,2.474,0.891,-0.002,-0.013,0.019,0.068,-0.048,0.038,-0.008,-0.083,0.039,-0.090,2.476,0.988,1497,1500,1859,1505,0.065,0.017,2.575,1,76,0,0.000,0.000,0.002,0.002,0.004,0.002,0.096
50.509677000,0.238009000,0.419922,43,102.764359,44422,0.0001,-0.093,2.474,0.891,-0.001,-0.017,0.019,0.068,-0.048,0.038,-0.015,-0.059,0.024,-0.090,2.476,0.988,1496,1500,1859,1505,0.069,0.019,2.695,1,76,0,0.000,0.000,0.001,0.001,0.004,0.002,0.096
50.524553000,0.252885000,0.429688,43,96.339111,44423,0.0051,-0.093,2.473,0.892,0.001,-0.020,0.019,0.068,-0.048,0.038,-0.013,-0.035,0.016,-0.090,2.476,0.988,1495,1499,1859,1505,0.073,0.021,2.815,1,76,0,0.000,0.000,-0.001,-0.001,0.004,0.002,0.096
50.530164000,0.258496000,0.439453,43,67.254021,44424,-0.0042,-0.093,2.473,0.892,0.003,-0.023,0.021,0.067,-0.047,0.038,-0.023,-0.003,0.005,-0.090,2.476,0.988,1495,1498,1858,1505,0.077,0.024,2.935,1,76,0,0.000,0.000,-0.003,-0.003,0.004,0.003,0.096
50.538816000,0.267148000,0.449707,43,178.475815,44425,-0.0016,-0.093,2.473,0.892,0.005,-0.026,0.022,0.068,-0.047,0.037,0.003,0.007,-0.022,-0.090,2.476,0.988,1494,1497,1858,1505,0.081,0.027,3.054,1,76,0,0.000,0.000,-0.005,-0.005,0.004,0.003,0.096
50.549870000,0.278202000,0.459473,43,115.687180,44426,0.0013,-0.093,2.472,0.892,0.006,-0.030,0.021,0.067,-0.046,0.036,-0.020,0.029,-0.046,-0.090,2.476,0.988,1493,1497,1858,1504,0.084,0.030,3.174,1,76,0,0.000,0.000,-0.006,-0.006,0.004,0.003,0.095
50.559113000,0.287445000,0.468750,43,90.505928,44427,-0.0000,-0.093,2.472,0.892,0.004,-0.034,0.020,0.065,-0.045,0.035,-0.071,0.038,-0.053,-0.090,2.476,0.988,1492,1498,1858,1504,0.088,0.034,3.292,1,76,0,0.000,0.000,-0.004,-0.004,0.004,0.004,0.095
50.572283000,0.300615000,0.479492,43,108.271980,44428,0.0024,-0.093,2.471,0.893,0.003,-0.037,0.018,0.063,-0.046,0.035,-0.116,0.011,-0.048,-0.090,2.476,0.988,1492,1498,1859,1504,0.092,0.038,3.411,1,76,0,0.000,0.000,-0.003,-0.003,0.004,0.004,0.095
50.579889000,0.308221000,0.489746,43,75.964752,44429,-0.0027,-0.093,2.471,0.893,0.002,-0.039,0.017,0.060,-0.047,0.035,-0.146,-0.018,-0.026,-0.090,2.476,0.988,1491,1498,1859,1504,0.095,0.043,3.530,1,76,0,0.000,0.000,-0.002,-0.002,0.004,0.005,0.095
50.592082000,0.320414000,0.499512,43,131.578949,44430,0.0024,-0.093,2.471,0.893,0.002,-0.040,0.016,0.057,-0.048,0.037,-0.181,-0.051,0.027,-0.090,2.476,0.988,1491,1498,1859,1505,0.099,0.048,3.648,1,76,0,0.000,0.000,-0.002,-0.002,0.004,0.005,0.095
50.613437000,0.341769000,0.509766,43,82.047913,44431,0.0111,-0.093,2.470,0.893,0.002,-0.041,0.014,0.054,-0.050,0.039,-0.210,-0.080,0.076,-0.090,2.476,0.988,1491,1498,1860,1505,0.102,0.053,3.767,1,76,0,0.000,0.000,-0.002,-0.002,0.004,0.006,0.095
50.624993000,0.353325000,0.519531,43,46.840603,44432,0.0018,-0.093,2.470,0.893,0.003,-0.043,0.012,0.052,-0.052,0.041,-0.222,-0.107,0.098,-0.090,2.476,0.988,1490,1498,1861,1505,0.106,0.059,3.885,1,76,0,0.000,0.000,-0.003,-0.003,0.004,0.006,0.095
