New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z,P_term_vel_x,I_term_vel_x,D_term_vel_x,error_vel_x,d_error_vel_x,desired_pitch_angle
82.062539000,0.009228000,0.580078,43,99.611519,54890,0.0032,-0.320,2.138,0.890,-0.026,-0.046,0.005,-0.031,-0.056,0.214,0.255,-0.147,0.100,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.072065000,0.018754000,0.590820,43,76.834419,54891,-0.0012,-0.320,2.138,0.890,-0.025,-0.043,0.003,-0.029,-0.057,0.215,0.233,-0.147,0.088,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.081102000,0.027791000,0.600586,43,105.053055,54892,-0.0007,-0.320,2.137,0.890,-0.023,-0.042,0.004,-0.027,-0.059,0.215,0.231,-0.155,0.064,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.091648000,0.038337000,0.610352,43,110.717445,54893,0.0008,-0.321,2.137,0.890,-0.021,-0.040,0.003,-0.026,-0.060,0.214,0.195,-0.151,0.025,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.104176000,0.050865000,0.620117,43,94.885666,54894,0.0028,-0.321,2.137,0.890,-0.018,-0.036,0.002,-0.026,-0.061,0.214,0.152,-0.135,0.030,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.119839000,0.066528000,0.629883,43,79.872208,54895,0.0059,-0.321,2.136,0.890,-0.015,-0.033,0.000,-0.025,-0.061,0.214,0.144,-0.093,0.027,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.133289000,0.079978000,0.640625,43,63.865116,54896,0.0027,-0.321,2.136,0.890,-0.011,-0.030,-0.001,-0.024,-0.061,0.215,0.117,-0.065,0.039,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.133709000,0.080398000,0.650391,43,74.393692,54897,-0.0094,-0.321,2.136,0.890,-0.007,-0.027,-0.003,-0.023,-0.062,0.216,0.122,-0.072,0.058,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.140466000,0.087155000,0.660156,43,2409.638672,54898,-0.0030,-0.321,2.136,0.890,-0.005,-0.023,-0.003,-0.024,-0.062,0.217,0.059,-0.069,0.057,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.164280000,0.110969000,0.660156,0,148.060410,0,0,-0.321,2.136,0.890,-0.005,-0.023,-0.003,-0.024,-0.062,0.217,0.059,-0.069,0.057,0.000,0.000,0.000,1500,1500,900,1500,0.000,0.000,0.000,0,78,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.172343000,0.119032000,0.670898,43,148.060410,54899,0.0211,-0.321,2.136,0.890,-0.006,-0.020,-0.004,-0.028,-0.062,0.216,-0.036,-0.051,0.031,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.173523000,0.120212000,0.680664,43,31.377472,54900,-0.0086,-0.321,2.136,0.890,-0.005,-0.018,-0.006,-0.030,-0.061,0.216,-0.074,-0.014,0.010,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.173853000,0.120542000,0.690430,43,851.788757,54901,-0.0094,-0.321,2.136,0.890,-0.004,-0.015,-0.007,-0.031,-0.060,0.216,-0.095,0.013,0.009,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.180250000,0.126939000,0.700195,43,3076.923096,54902,-0.0034,-0.321,2.135,0.890,-0.003,-0.013,-0.008,-0.032,-0.060,0.217,-0.082,0.021,0.025,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.192759000,0.139448000,0.709961,43,156.396622,54903,0.0027,-0.321,2.135,0.890,-0.002,-0.011,-0.009,-0.031,-0.059,0.217,-0.048,0.032,0.034,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.204621000,0.151310000,0.719727,43,79.987206,54904,0.0021,-0.321,2.135,0.889,0.000,-0.010,-0.010,-0.030,-0.059,0.217,-0.016,0.027,0.027,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82.211551000,0.158240000,0.730469,43,84.359711,54905,-0.0038,-0.321,2.135,0.889,0.001,-0.009,-0.010,-0.030,-0.059,0.217,0.003,0.021,0.003,-1.168,1.081,0.141,1500,1500,900,1500,0.000,0.000,0.000,1,78,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
